Title,country,Price,SuccessRate,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,rate
expert editorial advertising design,Spain,3500,100,Adobe InDesign,Adobe Photoshop,Presentation Design,Adobe Illustrator,Adobe Creative Cloud,Adobe Acrobat,80000
digital marketing consultant,Greece,24000,98,Social Media Marketing,Marketing Strategy,Digital Strategy,Corporate Strategy,Advertising,Business Consulting,700000
ex apple engineer expert mobile application developer io android,United States,4500,100,iOS Development,Android App Development,Mobile Apps,Swift,Kotlin,Java,20000
power point presentation specialist graphic designer ex mc kin ##s e ##y,India,2500,97,Presentation,Microsoft PowerPoint,Presentation Design,Microsoft Word,Graphic Design,Data Visualization,100000
expert 3d artist creative director,Costa Rica,3000,96,Product Rendering,Jewelry Rendering,Photorealistic Rendering,3D Modeling,Photo Editing,3D Rendering,100000
expert medical writer supplement formula tor,United States,7500,95,Medical,Copywriting,Technical Writing,Sales Writing,Scientific Writing,Editing,400000
u x ui design director app design web design sa as design,Ukraine,6000,94,Web Design,Mobile UI Design,User Experience Design,UX Design,SaaS,Branding,1000000
fraction al chief marketing officer startup traction growth bi z coach,United States,17500,86,Entrepreneurship,Business Plan,Customer Experience,Management Consulting,Business Coaching,Marketing,10000
cs r iii dat um entry spec lean sigma yellow belt pm e ce rt ##i f ##y,Philippines,1300,100,Excel VBA,IBM Rational Rose,vCita,.NET Remoting,.NET CF,Windows Media Connect,700000
ui designer child book illustrator cartoonist landing page,Ukraine,2500,72,Logo Design,Adobe Photoshop,Web Design,Adobe Illustrator,Digital Illustration,Cartoon Character,1000
premium animation explain er video expert,Philippines,3000,97,Animation,2D Animation,VideoScribe,Whiteboard Animation,eBook Design,Graphic Design,100000
video production animation,Belarus,3000,96,Animation,Motion Graphics,Videography,2D Animation,Sound Design,Illustration,100000
ce rt ##i f ##y file maker pro developer fm web integration specialist,United States,10500,96,FileMaker Pro,Mailchimp,Mail Merge,CRM,Database Design,Database Management,500000
voice artist education specialist translation edition,Colombia,1500,94,Creative Strategy,Communications,Community Strategy,English Proofreading,English,Spanish - Castilian (Spain),100
mage nt ##o shop if ##y lara ve ##l p wa php react vu e nu x ##t node,Netherlands,10000,98,Magento,Magento 2,Amazon EC2,WooCommerce,Zend Framework,PHP,1000000
di vi element or expert custom plug in custom i ##zation fixing,India,1050,82,WordPress,Wordpress Theme,Shopify Theme,WordPress Plugin,HTML5,Contact Form 7,8000
e commerce facebook ad specialist,United States,12000,100,Facebook Advertising,Facebook Ad Campaign,Facebook Marketing,Instagram Marketing,Instagram Ad Campaign,Display Ads,100000
word press developer woo com mer ce developer w p plug in developer,Ukraine,2500,90,WordPress,WooCommerce,PHP,CSS3,JavaScript,Bootstrap,100000
senior block cha ##i n developer,Russia,5000,100,API,C++,Bitcoin,Ethereum,Golang,Rust,1000000
stack as p net core react developer,India,2000,100,ASP.NET MVC,ASP.NET Core,ASP.NET Web API,React,Angular,Azure DevOps,20000
,Argentina,2500,92,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Banner Ads,Business Card Design,Cartooning,5000000
block cha ##i n io t fashion website app designer ui u x designer,Ukraine,4000,97,Web Design,Mobile UI Design,Responsive Web Design,User Experience Design,Adobe Photoshop,Figma,60000
good seo expert eco mm ##er ce store up work,United States,15000,94,Link Building,SEO,Content Writing,Internet Marketing,Reputation Management,Social Media Marketing,9000
mobile web ui u x designer,Ukraine,3000,93,UX Design,Mobile UI Design,Branding,Corporate Brand Identity,Logo Design,Interaction Design,10000
rate creative design expert,United States,6875,98,Microsoft PowerPoint,Graphic Design,Print Design,Presentation,Web Design,Corporate Brand Identity,1000000
microsoft cloud solution architect team int une azure,Pakistan,10000,100,Microsoft Exchange Server,Microsoft Azure,Microsoft Office 365,Microsoft Teams,Skype For Business,Microsoft Azure,10000
u x ui designer web mobile solution graphic designer,Ukraine,2500,98,Web Design,Responsive Web Design,Graphic Design,Logo Design,Album Cover Design,Business Card Design,200000
marketing sale expert,Philippines,1000,95,Social Media Management,Marketing & Sales,Canva,WordPress,Customer Service,Virtual Assistant,7000
graphic web designer illustrator re to ##u cher photographer,India,2000,100,Adobe Photoshop,Adobe Illustrator,Logo Design,Photography,Photo Editing,Photograph Color Correction,1000
video audio editor,Ukraine,2500,96,Audio Editing,Video Editing,Adobe Photoshop,Adobe Premiere Pro,iZotope RX,Adobe After Effects,4000
data scientist analytics ml plot l ##y dash python web dev react,Brazil,4975,100,Data Analysis,Data Mining,Data Science,Data Visualization,Machine Learning,Software Development,10000
expert v ba v b microsoft office automation,Macedonia,10000,100,Visual Basic,VBA,VB.NET,Access VBA,Excel VBA,ASP,100000
stack developer ruby rail ui u x angular react vu e,Pakistan,3500,100,Ruby on Rails,GitHub,Frontend Development,jQuery,MySQL,PostgreSQL,100000
php 5 sy m f ##o ny lara ve ##l io android b dd be hat,Ukraine,3000,100,Symfony,Git,OOPS,iOS Development,Android App Development,AngularJS,200000
professional stack web developer dr up al mage nt ##o word press,Uruguay,5500,100,Drupal,Magento,Magento 2,WordPress,Wordpress Theme,WordPress Plugin,50000
natural language processing engineer,Ukraine,3000,100,Natural Language Processing,Natural Language Toolkit (NLTK),Sentiment Analysis,Weka,Data Extraction,Python,2000
vs l video script sales co p ##y sale page expert copy writer web ina r funnel,United States,4500,99,Video Sales Letter,Sales Letters,ClickFunnels,Email Marketing,Sales Writing,Video Conversion,300000
web developer,Ukraine,3333,89,HTML5,SCSS,Less,JavaScript,React,React Native,30000
business plan financial model business intelligence,India,7500,89,Financial Analysis,Financial Modeling,Strategic Planning,Business Analysis,Business Modeling,Project Management,9000
global recruitment expert,Mexico,2500,100,IT Recruiting,Human Resource Management,Recruiting,Technical Recruiter,LinkedIn Recruiting,Talent Mangement,60000
react vu e j s node j s php lara ve ##l stack web developer,Russia,3000,95,PHP,JavaScript,WordPress,Laravel,Shopify,Vue.js,90000
amazon pro pp c listing f ba seller vendor central ex amazon,United Kingdom,6000,100,Pay Per Click Advertising,Amazon PPC,Advertising,Video Advertising,Amazon API Gateway,PPC Campaign Setup & Management,2000
vision talk word,Bulgaria,2500,100,Label and Package Design,Packaging Design,Logo Design,Graphic Design,Adobe Illustrator,CorelDRAW,600000
animator motion design animation,Ukraine,5000,100,Animation,2D Animation,Motion Graphics,Adobe After Effects,JavaScript,JavaScript,20000
ready publish translation,Brazil,4500,100,Translation Spanish English,English,Translation Arabic English,English Grammar,English Proofreading,Translation English Spanish,9000
website design development,United States,5000,99,Web Design,CMS Development,WordPress,Shopify,HTML5,CSS,700000
expert stack mobile web development delivery,Ukraine,4000,100,Parse Mobile App Platform,iOS Development,Objective-C,iPhone App Development,iPad App Development,Apple Xcode,200000
build today empire word time,United States,15000,97,Business,Creative Writing,English Grammar,English Spelling,Technical Writing,Resume Writing,200000
quick books expert phone support administrative support seo expert,Philippines,1000,96,Intuit QuickBooks,Technical Support,Call Handling,Email Handling,Live Chat Operator,Appointment Setting,80000
dev op,Ukraine,4000,100,Python,DevOps,Docker,Bash Shell Scripting,PHP,Jenkins,4000
web mobile io t product design delivery maintenance,United States,5000,100,Java,Node.js,React,Mobile App Development,AWS IoT Core,Internet of Things,200000
table au zen master table au ma gi ##c com,United Kingdom,15000,100,Tableau,Data Analysis,Big Data,Data Visualization,SQL,Business Intelligence,30000
expert php developer,India,2000,98,WordPress,PHP,Magento,MySQL Programming,CakePHP,CodeIgniter,6000000
data scientist developer,Russia,3000,98,Machine Learning,Data Science,Python,Object Oriented Programming (OOP),PyQt,Keras,600
good design good business,Philippines,3000,94,Packaging Design,Illustration,Adobe Photoshop Lightroom,Adobe Illustrator,Adobe InDesign,Logo Design,100000
email deliver ability email marketing expert,India,40000,100,Email Deliverability,Email Marketing,Email Technical Support,Mail Server Implementation,SMTP,DNS,50000
angular react u x ui prototype html 5 cs s 3,Russia,2500,100,Graphic Design,Responsive Web Design,Web Design,HTML5,AngularJS,Vue.js,10000
stack php lara ve ##l amazon word press node j ##s api developer,Pakistan,4000,95,WordPress,CodeIgniter,Amazon MWS,Laravel,API Development,Node.js,1000000
13 year ex p as p net core mv c web api react c,India,2000,99,ASP.NET MVC,JavaScript,Desktop Applications,SQL,Microsoft Power BI,Microsoft Azure,4000000
ui u x web logo designer,Ukraine,1600,97,Adobe Photoshop,Adobe Illustrator,CorelDRAW,Figma,UI/UX Prototyping,Web Design,40000
expert mood le word press mobile app developer,India,2000,83,Moodle,PHP,HTML,HTML5,JavaScript,WordPress,200000
3d modeling animation 3d rendering ar vr game dev poly mat h,Pakistan,2500,97,Autodesk 3D Studio Max,Adobe Photoshop,Autodesk,Adobe After Effects,Game Design,Pixologic Zbrush,20000
amazon seller central expert amazon f ba e bc a content writer,India,1998,100,Customer Support,Customer Service,Virtual Assistant,eBay Listing/Writing,Amazon Listing Optimization,Digital Marketing,60000
microsoft d 36 5 power platform business intelligence consultant,India,3000,100,Microsoft Dynamics CRM,Microsoft Dynamics 365,Microsoft Dynamics,Microsoft SQL Server,Microsoft PowerApps,SQL Server Integration Services (SSIS),200000
experience full st ##a ck developer word press developer,Ukraine,3500,99,HTML5,CSS3,JavaScript,TypeScript,WordPress,Wordpress Theme,1000000
partnership manager connect good developer,Ukraine,3000,100,iOS Development,Android App Development,Kotlin,Swift,Objective-C,Java,100000
microsoft ce rt ##i f ##y database engineer access sql,Pakistan,9000,100,Microsoft Access Programming,Microsoft Access,Database Design,Database Programming,Microsoft Excel,VBA,100000
3d model er 3d designer,United States,7500,97,Rhinoceros 3D,Blender,3D Modeling,3D Rendering,3D Animation,Autodesk 3D Studio Max,100000
lead mobile engineer ios android,Ukraine,4000,100,Project Management,Mobile App Development,Android App Development,iOS Development,Swift,Java,900000
logo design expert print design,Ukraine,3500,100,Graphic Design,Logo Design,Web Design,Layout Design,Adobe Photoshop,Adobe Illustrator,100000
senior block cha ##i n developer ether eu ##m stellar hyper led ge ##r expert,India,2200,82,React,Hyperledger Fabric,Golang,Blockchain Development,Node.js,AngularDart,5000000
motion designer ae template editor character animator 3d animator,India,1935,98,Adobe After Effects,Maxon Cinema 4D,Adobe Photoshop,Adobe Illustrator,Typography,Motion Graphics,100000
branding web designer,Philippines,4000,100,Web Design,Graphic Design,User Interface Design,Frontend Development,Print Design,Illustration,10000
senior u x ui web designer,Poland,5000,100,UX/UI,Mobile UI Design,Mobile App Design,Web Design,Conversion Rate Optimization,UX Design,40000
google seo expert page opt im ##i ze ##r pro se m rus h ah re f,India,1800,79,SEO,Moz,SEO Audit,SEO Writing,SEO Backlinking,SEO Keyword Research,2000000
wi x developer til da element or di vi,Ukraine,2500,93,Python,MODX,PHP,Wix,Website,Google AdWords Development,80000
expert accountant book keeper quick book x er ##o ce rt ##i f ##y,Pakistan,2000,100,Wave Accounting,Bookkeeping,Microsoft Excel,Intuit QuickBooks,Accounting,Account Reconciliation,100000
expert design illustration fine art,United States,5000,97,Adobe Illustrator,Adobe Photoshop,Album Cover Design,Illustration,Graphic Design,Logo Design,100000
shop if ##y expert custom shop if ##y app 3rd party integration,Ukraine,5000,97,Laravel,MySQL Programming,Node.js,Shopify Apps,Shopify Plus,Shopify,400000
java script architect angular expert,Ukraine,6500,100,AngularJS,Node.js,Angular 5,React,JavaScript,HTML5,1000000
dat um mining web research dat um entry expert,Bangladesh,400,100,Data Entry,Internet Research,Microsoft Excel,Web Scraper,Lead Generation,Microsoft Word,60000
expert vector illustrator graphic designer,Ukraine,500,96,2D Design,Adobe Illustrator,Adobe Photoshop,Logo Design,Icon Design,Web Design,10000
social medium manager,Greece,3000,98,Social Media Marketing,Twitter Marketing,Facebook Marketing,Instagram Marketing,Microsoft Word,Microsoft Excel,700000
web designer,Canada,2500,100,jQuery,CSS,AJAX,HTML,Adobe Photoshop,Adobe Illustrator,300000
seo local eco mm ##er ce seo audit page page optimization expert,India,2000,96,SEO,SEO Audit,SEO Keyword Research,On-Page Optimization,Off-page Optimization,SEO Backlinking,10000000
expert android developer,Russia,3750,100,Mobile App Development,Java,Android App Development,XML,Facebook Development,Twitter API,2000000
expert eco mm ##er ce consultant 15 y rs mage nt ##o partner shop if ##y ce rt ##i f ##y,United States,9500,100,Magento,Shopify,WordPress,PHP,HTML,CSS3,5000
dev ops service 24 x 7 infrastructure support,Germany,3500,100,Administrative Support,Technical Support,Service Cloud Administration,Linux System Administration,Windows Administration,DevOps,2000000
expert software architect seasoned product project manager ct o,Israel,16000,100,C#,ASP.NET MVC,Node.js,AngularJS,TypeScript,JavaScript,800000
project manager business analyst,Ukraine,3500,99,WordPress,Laravel,SEO,Web Design,PSD to Wordpress,PHP,300000
word press yi i 2 0 woo commerce php api shop if ##y react,Ukraine,2500,93,PHP,JavaScript,HTML,CSS,SQL,Yii2,80000
expert 3d artist rendering modeling texture lighting,Bulgaria,2500,100,Autodesk 3D Studio Max,3D Rendering,3D Modeling,V-Ray,Adobe Photoshop,3D Design,200000
maintain able word press plug in,United States,10500,100,PHP,Zapier,Node.js,English,API Development,Laravel,100000
amazon pp c social advertising analytic sales force par dot,United States,4000,73,Google Ads,Analytics,Social Media Management,SEO Keyword Research,Search Engine Marketing,Facebook Marketing,60000
ceo sd a company,Ukraine,2500,100,PHP,SQL,Laravel,CSS3,JavaScript,Node.js,30000
chief operating officer,Ukraine,5000,97,React Native,Web Design,React,JavaScript,Firebase,Node.js,1000000
expert medium software developer ff mp e ##g web rt c,Cyprus,9000,99,FFmpeg,Node.js,JavaScript,AngularJS,Wowza Media Server,Kurento,1000000
la tam recruiting manager,Mexico,5000,100,Technical Recruiter,Project Management,Human Resource Management,IT Recruiting,LinkedIn Recruiting,JavaScript,200000
graphic designer visual artist,Russia,2500,99,Logo Design,Graphic Design,Web Design,Mobile UI Design,iPhone UI Design,iPad UI Design,2000000
web mobile app stack developer react j s react native p wa,Russia,3500,100,React,JavaScript,AngularJS,Node.js,CSS,HTML,700000
senior word press woo com mer ce shop if ##y developer,Ukraine,3000,99,Web Design,Website Development,WordPress,WooCommerce,Shopify,PHP,1000000
progressive web app p wa developer,Russia,4000,100,Node.js,React,React Native,Mobile App Development,Ecommerce Platform Development,Firebase,100000
php sy m f ##o ny developer,Ukraine,3500,100,PHP,Symfony,Doctrine ORM,Unit Testing,XML,SOAP,3000000
power point presentation designer,Ukraine,2500,99,Presentation,Presentation Design,Microsoft PowerPoint,Sales,Adobe Illustrator,Adobe Photoshop,100000
expert mobile web app game development delivery,India,3500,99,iOS Development,Android App Development,Game Development,Graphic Design,Swift,Unity,4000000
google ads google shopping facebook ad marketing expert,India,1500,95,Google Ads,Pay Per Click,Internet Marketing,Google Shopping,Facebook Marketing,Marketing Strategy,8000000
marketplace expert,Ukraine,4000,100,Sharetribe,Marketplace Development,Ruby on Rails,Ruby,Ecommerce Platform Development,JavaScript,300000
stack software engineer,United States,1700,100,Nightwatch.js,.NET Core,ASP.NET Core,ASP.NET Web API,Angular,Azure DevOps,6000
php word press lara ve ##l woo com mer ce java script my s q l developer,Ukraine,2500,94,PHP,WordPress,WooCommerce,JavaScript,MySQL Programming,Laravel,2000000
art director u x ui expert ic o block cha ##i n design,Ukraine,2900,95,Web Design,User Experience Design,User Interface Design,iPhone UI Design,Mobile UI Design,Graphic Design,50000
microsoft excel v ba specialist,Philippines,3500,100,Excel VBA,Process Improvement,Microsoft Office,Agile Project Management,Lean Manufacturing,Microsoft Excel,4000
ui u x graphic designer website design software design,Ukraine,4000,96,Website Wireframing,Game Design,User Interface Design,User Experience Design,Illustration,Icon Design,1000000
q a engineer web mobile q a lead manager automation q a engineer,Ukraine,3000,100,Automated Testing,Web Testing,Manual Testing,Mobile App Testing,Functional Testing,Software QA Testing,300000
link building offs it ##e seo guest post build back link blog,United States,14997,99,Influencer Marketing,Blog Writing,SEO,Internet Marketing,Moz,SEO Audit,200000
ce rt ##i f ##y hub sp ot developer,India,1500,94,HubSpot,Shopify,Shopify Templates,Web Design,WordPress,Adobe Photoshop,300000
lara ve ##l php expert developer,Ukraine,3300,100,HTML5,CSS3,Laravel,Laravel,PHP,JavaScript,300000
php java script cs s my s q l shop if ##y word press custom plug in,India,3500,98,WordPress,HTML5,CSS3,PSD to HTML,Magento,Shopify,1000000
microsoft ce rt ##i f ##y sql server expert,India,4500,100,Microsoft SQL SSRS,SQL Server Integration Services (SSIS),Stored Procedure Development,Transact-SQL,XML,VBA,200000
word press mage nt ##o custom php shop if ##y squares pace seo,India,1111,100,PHP,PSD to Wordpress,Magento,Responsive Web Design,OpenCart,WordPress,200000
mobile desktop developer,Ukraine,2778,100,Objective-C,C++,Swift,iOS Development,OpenGL,OpenGL ES,40000
chief technology officer,Pakistan,5556,100,Natural Language Processing,Machine Learning,Artificial Intelligence,Node.js,Data Science,Data Mining,200000
expert italian portuguese english spanish,Brazil,1500,100,Translation,Italian,Portuguese,Translation English Italian,Translation English Portuguese,Spanish - Castilian (Spain),20000
freelance writer content specialist,United States,6000,98,Writing,WordPress,Copyediting,Editing,Radio Broadcasting,SEO,900
java script ninja angular 2 types cr ##ip ##t,Ukraine,4000,98,Node.js,MongoDB,JavaScript,Ionic Framework,React Native,Meteor,8000000
business consultant,United States,12500,97,Social Media Marketing,Social Media Management,Strategic Planning,Twitter Marketing,Instagram Marketing,Business Consulting,10000
api int e ##ga rt ##i on hub sp ot t wil io api z oh o za pi integration,India,1375,84,WordPress,Google Maps API,Core PHP,WordPress Plugin,Wordpress Thrive Themes,REST,60000
ceo senior editor,Serbia,2500,98,Editing,Writing,Management Skills,English,Translation,Transcription,400000
senior developer python dj ang ##o react as p net mv c word press,United States,3500,100,Python,Django,Phoenix,Nest.js,PostgreSQL,Scrapy,3000
mage nt ##o developer lara ve ##l developer word press developer,Pakistan,1600,100,PHP,AJAX,WordPress,HTML,JavaScript,osCommerce,600000
head u x ui design end development,Ukraine,5000,100,User Experience Design,Mobile UI Design,Web Design,User Interface Design,App Usability Analysis,iPhone UI Design,40000
crypt o ##c ur ren cy block cha ##i n expert writing business development,Jamaica,2000,86,Bitcoin,Blockchain,Cryptocurrency,Zendesk,English,Social Customer Service,20000
stack healthcare h l 7 f hi ##r hip aa ph r eh r em r system,India,4000,100,Health Level 7,Tableau,Data Science,ASP.NET MVC,Object Oriented PHP,HL7,800000
